,p1_1,p1_2,p1_3,p1_4,p1_5,p1_6,p1_7,p1_8,p2_1,p2_2,p2_3,p2_4,p2_5,p2_6,p2_7,p2_8,p1_crowns,p2_crowns
552,Skeletons,The Log,Night Witch,Lightning,Ice Wizard,Elixir Golem,Tornado,Baby Dragon,Princess,Fireball,Three Musketeers,Royal Hogs,Bandit,Zap,P.E.K.K.A,Minion Horde,3,0
553,Skeletons,The Log,Night Witch,Lightning,Ice Wizard,Elixir Golem,Tornado,Baby Dragon,Witch,Giant,Rage,Wizard,Mini P.E.K.K.A,The Log,Zap,Guards,3,0
554,Tornado,Magic Archer,Valkyrie,Bomb Tower,Freeze,Executioner,Graveyard,Ice Golem,Rocket,Battle Ram,Valkyrie,Hog Rider,Skeleton Army,Goblin Barrel,Wizard,Elite Barbarians,0,1
555,Skeletons,Executioner,Elixir Golem,Night Witch,The Log,Magic Archer,Rocket,Tornado,Valkyrie,The Log,Magic Archer,Wall Breakers,Miner,Bomb Tower,Bats,Skeletons,1,0
556,Skeletons,Executioner,Elixir Golem,Night Witch,The Log,Magic Archer,Rocket,Tornado,Poison,Rocket,Bomb Tower,Dark Prince,Dart Goblin,Barbarian Barrel,Miner,Princess,1,0
557,Skeletons,Executioner,Elixir Golem,Night Witch,The Log,Magic Archer,Rocket,Tornado,Hog Rider,The Log,Giant Skeleton,Bomb Tower,Goblins,Tornado,Magic Archer,Ice Wizard,1,0
558,Skeletons,Executioner,Elixir Golem,Night Witch,The Log,Magic Archer,Rocket,Tornado,Zap,Bats,Wall Breakers,Tornado,Executioner,Bandit,Miner,Mega Knight,0,1
559,Skeletons,Executioner,Elixir Golem,Night Witch,The Log,Magic Archer,Rocket,Tornado,Executioner,Barbarian Barrel,Elixir Golem,Sparky,Night Witch,Skeletons,Poison,Tornado,0,1
560,Skeletons,Executioner,Elixir Golem,Night Witch,The Log,Magic Archer,Rocket,Tornado,P.E.K.K.A,Executioner,Lumberjack,Balloon,Skeleton Army,Musketeer,Tornado,Zap,2,1
561,Skeletons,Executioner,Elixir Golem,Night Witch,The Log,Magic Archer,Rocket,Tornado,Magic Archer,The Log,Rocket,Night Witch,Tornado,Skeletons,Executioner,Elixir Golem,1,0
562,Goblin Barrel,Rocket,The Log,Prince,Ice Wizard,Tornado,Princess,Goblin Gang,Baby Dragon,Goblins,Goblin Hut,Valkyrie,Executioner,Graveyard,Freeze,Barbarian Barrel,2,1
563,Goblin Barrel,Rocket,The Log,Prince,Ice Wizard,Tornado,Princess,Goblin Gang,Miner,Wall Breakers,Bomb Tower,Magic Archer,Bats,Skeletons,Valkyrie,Giant Snowball,0,1
564,Valkyrie,Goblin Barrel,Tesla,Rocket,Princess,Ice Spirit,Goblin Gang,The Log,Zap,Poison,Elixir Golem,Baby Dragon,Witch,Fisherman,Night Witch,Mega Knight,1,0
565,Valkyrie,Goblin Barrel,Tesla,Rocket,Princess,Ice Spirit,Goblin Gang,The Log,Ice Golem,Archers,The Log,X-Bow,Fireball,Skeletons,Tesla,Ice Spirit,1,0
566,Valkyrie,Goblin Barrel,Tesla,Rocket,Princess,Ice Spirit,Goblin Gang,The Log,Baby Dragon,Musketeer,Archers,Fireball,Valkyrie,Bandit,Mini P.E.K.K.A,Tornado,1,0
567,Valkyrie,Goblin Barrel,Tesla,Rocket,Princess,Ice Spirit,Goblin Gang,The Log,Graveyard,Poison,Giant,Night Witch,Zap,Witch,Barbarian Barrel,Valkyrie,1,0
568,Valkyrie,Goblin Barrel,Tesla,Rocket,Princess,Ice Spirit,Goblin Gang,The Log,P.E.K.K.A,Zap,Freeze,Valkyrie,Balloon,Ice Wizard,Executioner,Tornado,0,1
569,Valkyrie,Goblin Barrel,Tesla,Rocket,Princess,Ice Spirit,Goblin Gang,The Log,Valkyrie,Mortar,Giant Snowball,Poison,Witch,Skeletons,Archers,Royal Hogs,1,0
570,Valkyrie,Goblin Barrel,Tesla,Rocket,Princess,Ice Spirit,Goblin Gang,The Log,Witch,Dark Prince,Fisherman,Electro Wizard,Mega Knight,Magic Archer,Giant Snowball,Royal Hogs,1,0
571,Valkyrie,Goblin Barrel,Tesla,Rocket,Princess,Ice Spirit,Goblin Gang,The Log,Mirror,Balloon,Night Witch,Magic Archer,Witch,Princess,The Log,Mega Knight,1,0
572,Giant,Sparky,Mini P.E.K.K.A,Dark Prince,Electro Wizard,Mega Minion,Poison,Zap,Barbarians,Bandit,Magic Archer,Royal Hogs,Goblin Cage,Flying Machine,Giant Snowball,Bats,3,0
573,Giant,Sparky,Mini P.E.K.K.A,Dark Prince,Electro Wizard,Mega Minion,Poison,Zap,Giant,Witch,Bomber,Musketeer,Poison,Graveyard,Fisherman,The Log,3,1
574,Giant,Sparky,Mini P.E.K.K.A,Dark Prince,Electro Wizard,Mega Minion,Poison,Zap,Furnace,Giant Snowball,Bats,Poison,Hog Rider,Skeletons,Valkyrie,Musketeer,3,0
575,Giant,Sparky,Mini P.E.K.K.A,Dark Prince,Electro Wizard,Mega Minion,Poison,Zap,Bomber,Wall Breakers,Night Witch,The Log,Fisherman,Witch,Skeleton Army,Elixir Golem,3,2
576,Dark Prince,Electro Wizard,Fisherman,Giant Snowball,Goblin Giant,Lightning,Mega Minion,Sparky,Mega Knight,Princess,Royal Giant,Skeleton Army,Bats,Musketeer,Goblin Barrel,Fisherman,2,0
577,Dark Prince,Electro Wizard,Fisherman,Giant Snowball,Goblin Giant,Lightning,Mega Minion,Sparky,Electro Wizard,Princess,Fisherman,Mega Knight,Goblin Barrel,Skeleton Army,Bats,Royal Giant,0,1
578,Balloon,Miner,Executioner,Freeze,Skeletons,Zap,Tornado,Valkyrie,Poison,Mini P.E.K.K.A,Battle Ram,Executioner,Bandit,Electro Wizard,Lumberjack,Mega Knight,1,0
579,Balloon,Miner,Executioner,Freeze,Skeletons,Zap,Tornado,Valkyrie,Mega Knight,Mega Minion,Zap,Miner,Tombstone,Musketeer,Balloon,Fireball,1,0
580,Balloon,Miner,Executioner,Freeze,Skeletons,Zap,Tornado,Valkyrie,Tornado,Fire Spirits,Hog Rider,Balloon,Zap,Executioner,Valkyrie,Inferno Dragon,1,0
581,Balloon,Miner,Executioner,Freeze,Skeletons,Zap,Tornado,Valkyrie,Miner,Elixir Golem,The Log,Mega Minion,Fireball,Night Witch,Witch,Poison,1,0
582,Balloon,Miner,Executioner,Freeze,Skeletons,Zap,Tornado,Valkyrie,Ice Spirit,Zap,Skeletons,Freeze,Ice Golem,Electro Wizard,Lumberjack,Balloon,1,0
583,Balloon,Miner,Executioner,Freeze,Skeletons,Zap,Tornado,Valkyrie,Goblin Barrel,Fire Spirits,Ram Rider,Electro Wizard,Giant Skeleton,Skeleton Army,Arrows,Inferno Dragon,1,0
584,Balloon,Miner,Executioner,Freeze,Skeletons,Zap,Tornado,Valkyrie,Dark Prince,Wizard,Miner,Electro Wizard,Mega Knight,Magic Archer,Rage,Cannon Cart,1,0
585,Bandit,Electro Wizard,Baby Dragon,Miner,Goblin Hut,Zap,Poison,P.E.K.K.A,Cannon Cart,Mega Minion,Archers,Ice Golem,Bomb Tower,Graveyard,Poison,Giant Snowball,1,0
586,Three Musketeers,Elixir Golem,Magic Archer,Miner,Night Witch,Royal Ghost,Skeletons,Giant Snowball,Giant Skeleton,Balloon,Tornado,Baby Dragon,Zap,Tesla,Miner,Ice Wizard,2,1
587,Bandit,Electro Wizard,Baby Dragon,Miner,Goblin Hut,Zap,Poison,P.E.K.K.A,Skeletons,Ice Spirit,Ice Golem,Hog Rider,The Log,Fireball,Cannon,Musketeer,1,2
588,Bandit,Electro Wizard,Baby Dragon,Miner,Goblin Hut,Zap,Poison,P.E.K.K.A,Zap,Wall Breakers,Mega Knight,Musketeer,Minions,Barbarian Barrel,Bandit,Miner,2,1
589,Bandit,Electro Wizard,Baby Dragon,Miner,Goblin Hut,Zap,Poison,P.E.K.K.A,Barbarian Barrel,Miner,Mega Knight,Executioner,Zap,Minions,Wall Breakers,Bandit,2,1
590,Bandit,Electro Wizard,Baby Dragon,Miner,Goblin Hut,Zap,Poison,P.E.K.K.A,Skeletons,Wall Breakers,Bats,Bomb Tower,The Log,Magic Archer,Miner,Valkyrie,2,1
591,Bandit,Electro Wizard,Baby Dragon,Miner,Goblin Hut,Zap,Poison,P.E.K.K.A,Ice Golem,Magic Archer,Barbarian Barrel,Baby Dragon,Lumberjack,P.E.K.K.A,Hunter,Zappies,1,0
592,Bandit,Electro Wizard,Baby Dragon,Miner,Goblin Hut,Zap,Poison,P.E.K.K.A,Golem,Night Witch,Baby Dragon,Mega Minion,Rocket,Fire Spirits,Ice Spirit,Tornado,1,0
593,Bandit,Electro Wizard,Baby Dragon,Miner,Goblin Hut,Zap,Poison,P.E.K.K.A,Balloon,Miner,Skeleton Army,Ice Spirit,Witch,Lumberjack,Zap,Magic Archer,2,1
594,Bandit,Electro Wizard,Baby Dragon,Miner,Goblin Hut,Zap,Poison,P.E.K.K.A,P.E.K.K.A,Magic Archer,Royal Ghost,Bandit,Zap,Poison,Battle Ram,Electro Wizard,1,0
595,Bandit,Electro Wizard,Baby Dragon,Miner,Goblin Hut,Zap,Lightning,P.E.K.K.A,Valkyrie,Ice Wizard,Musketeer,Zap,Knight,Hog Rider,Minions,Witch,1,2
596,Bandit,Electro Wizard,Baby Dragon,Miner,Goblin Hut,Zap,Lightning,P.E.K.K.A,Miner,Bandit,The Log,Electro Wizard,Skeletons,Battle Ram,Poison,Inferno Tower,1,0
597,Bandit,Electro Wizard,Baby Dragon,Miner,Goblin Hut,Zap,Lightning,P.E.K.K.A,Giant,Bats,Zap,Skeleton Army,Sparky,Goblin Gang,Arrows,Wizard,0,1
598,Ice Spirit,Skeletons,Ice Golem,Archers,Tesla,X-Bow,The Log,Fireball,Bats,Royal Hogs,Magic Archer,Poison,Rascals,Royal Ghost,Barbarian Barrel,Goblin Cage,1,0
599,Ice Spirit,Skeletons,Ice Golem,Archers,Tesla,X-Bow,The Log,Fireball,Skeletons,The Log,Night Witch,Lightning,Ice Wizard,Elixir Golem,Tornado,Baby Dragon,0,1
600,Ice Spirit,Skeletons,Ice Golem,Archers,Tesla,X-Bow,The Log,Fireball,Valkyrie,Magic Archer,Bomb Tower,Miner,Wall Breakers,Bats,Zap,Skeletons,1,0
601,Ice Spirit,Skeletons,Ice Golem,Archers,Tesla,X-Bow,The Log,Fireball,Skeletons,Tornado,Ram Rider,Poison,Barbarian Barrel,Knight,Ice Wizard,Wizard,1,0
602,Ice Spirit,Skeletons,Ice Golem,Archers,Tesla,X-Bow,The Log,Fireball,Goblin Barrel,Battle Ram,Archers,P.E.K.K.A,Dark Prince,Princess,Poison,Zap,1,0
603,Ice Spirit,Skeletons,Ice Golem,Archers,Tesla,X-Bow,The Log,Fireball,Zap,Minions,Barbarian Barrel,Musketeer,Wall Breakers,Bandit,Miner,Mega Knight,2,1
604,Ice Spirit,Skeletons,Ice Golem,Archers,Tesla,X-Bow,The Log,Fireball,Mega Knight,Electro Wizard,Baby Dragon,Lumberjack,Princess,Skeleton Army,Magic Archer,Inferno Dragon,2,0
605,Miner,Valkyrie,Executioner,Tornado,Poison,Royal Giant,Skeletons,The Log,Poison,Zap,Battle Ram,Executioner,Bandit,Electro Wizard,Lumberjack,Mega Knight,0,1
606,Executioner,Baby Dragon,Rocket,Graveyard,Bowler,Tornado,Freeze,Barbarian Barrel,Mega Knight,Electro Wizard,Ram Rider,Inferno Dragon,Giant Snowball,Lightning,Barbarian Barrel,Bandit,1,0
607,Executioner,Baby Dragon,Night Witch,Graveyard,Bowler,Tornado,Freeze,Barbarian Barrel,X-Bow,Archers,Skeletons,The Log,Knight,Ice Spirit,Tesla,Rocket,0,1
608,Executioner,Baby Dragon,Night Witch,Graveyard,Bowler,Tornado,Freeze,Barbarian Barrel,Valkyrie,Tornado,Earthquake,The Log,Hog Rider,Executioner,Skeletons,Ice Spirit,1,0
609,Prince,Goblin Barrel,Princess,Rocket,Rascals,Goblin Gang,Dart Goblin,Giant Snowball,Golem,Night Witch,Baby Dragon,Executioner,Goblin Cage,Barbarian Barrel,Tornado,Rocket,1,0
610,Prince,Goblin Barrel,Princess,Rocket,Rascals,Goblin Gang,Dart Goblin,Giant Snowball,Executioner,Baby Dragon,Night Witch,Tornado,Goblin Cage,Golem,Lightning,The Log,1,0
611,Prince,Goblin Barrel,Princess,Rocket,Rascals,Goblin Gang,Dart Goblin,Giant Snowball,Graveyard,Electro Wizard,Night Witch,Mega Knight,Giant Snowball,Poison,Goblin Cage,Baby Dragon,1,0
612,Prince,Goblin Barrel,Princess,Rocket,Rascals,Goblin Gang,Dart Goblin,Giant Snowball,Poison,The Log,Tesla,Graveyard,Bomber,Mega Minion,Goblins,Ice Golem,0,1
613,Prince,Goblin Barrel,Princess,Rocket,Rascals,Goblin Gang,Dart Goblin,Giant Snowball,X-Bow,Tesla,Mini P.E.K.K.A,The Log,Ice Wizard,Dart Goblin,Zap,Rocket,1,0
614,Prince,Goblin Barrel,Princess,Rocket,Rascals,Goblin Gang,Dart Goblin,Giant Snowball,Goblin Gang,Rascals,Goblin Barrel,Prince,Rocket,Dart Goblin,The Log,Princess,1,0
615,Prince,Goblin Barrel,Princess,Rocket,Rascals,Goblin Gang,Dart Goblin,Giant Snowball,P.E.K.K.A,Wizard,Goblin Cage,Electro Wizard,Lightning,The Log,Hog Rider,Fisherman,1,0
616,Prince,Goblin Barrel,Princess,Rocket,Rascals,Goblin Gang,Dart Goblin,Giant Snowball,Dart Goblin,Zap,Mega Knight,Executioner,Wall Breakers,Miner,Goblin Gang,Bats,1,0
617,Prince,Goblin Barrel,Princess,Rocket,Rascals,Goblin Gang,Dart Goblin,Giant Snowball,Zap,Hog Rider,Fireball,Minion Horde,Valkyrie,Goblin Barrel,Skeleton Army,Ice Wizard,2,1
618,Prince,Goblin Barrel,Princess,Rocket,Rascals,Goblin Gang,Dart Goblin,Giant Snowball,Giant,Executioner,Night Witch,Skeletons,Graveyard,Poison,Tornado,Barbarian Barrel,1,0
619,Miner,Dart Goblin,Goblin Gang,Electro Wizard,Bats,Mega Knight,Wall Breakers,Zap,Valkyrie,Miner,Skeletons,Zap,Balloon,Executioner,Ice Spirit,Tornado,0,1
620,Miner,Dart Goblin,Goblin Gang,Electro Wizard,Bats,Mega Knight,Wall Breakers,Zap,Electro Wizard,Lightning,Golem,Mini P.E.K.K.A,Wizard,Arrows,Minion Horde,Knight,3,0
621,Royal Giant,Miner,Knight,Executioner,Goblins,The Log,Fireball,Tornado,Tornado,Lightning,Night Witch,Baby Dragon,Executioner,Elixir Golem,Dark Prince,Zap,2,3
622,Royal Giant,Miner,Knight,Executioner,Goblins,The Log,Fireball,Tornado,Elixir Golem,Tornado,Electro Wizard,Sparky,Spear Goblins,Ice Wizard,Baby Dragon,Poison,0,3
623,Royal Giant,Miner,Knight,Executioner,Goblins,The Log,Fireball,Tornado,Mega Knight,Inferno Dragon,Miner,Zap,Bats,Goblin Gang,Skeleton Barrel,Princess,2,1
624,Royal Giant,Miner,Knight,Executioner,Goblins,The Log,Fireball,Tornado,Hunter,Mega Minion,Freeze,Graveyard,Ice Wizard,Ice Golem,The Log,Barbarian Barrel,2,1
625,Royal Giant,Miner,Knight,Executioner,Goblins,The Log,Fireball,Tornado,Goblin Gang,Ice Spirit,Hog Rider,Executioner,Mini P.E.K.K.A,Dart Goblin,Barbarians,Lightning,1,0
626,Royal Giant,Miner,Knight,Executioner,Goblins,The Log,Fireball,Tornado,Balloon,Mega Knight,Ice Wizard,Electro Wizard,Arrows,Minions,Skeleton Army,Lumberjack,0,1
627,Royal Giant,Miner,Knight,Executioner,Goblins,The Log,Fireball,Tornado,Tesla,Goblin Gang,Valkyrie,Princess,Goblin Barrel,The Log,Rocket,Dart Goblin,1,0
628,Royal Giant,Miner,Knight,Executioner,Goblins,The Log,Fireball,Tornado,Valkyrie,Knight,Executioner,Princess,Zap,Hog Rider,Skeletons,The Log,1,0
629,Royal Giant,Miner,Knight,Executioner,Goblins,The Log,Fireball,Tornado,X-Bow,Ice Golem,Ice Spirit,Fireball,Tesla,Skeletons,Archers,The Log,1,0
630,Royal Giant,Miner,Knight,Executioner,Goblins,The Log,Fireball,Tornado,Princess,The Log,Goblin Barrel,Valkyrie,Inferno Tower,Rocket,Goblin Gang,Ice Spirit,1,0
631,Royal Giant,Miner,Knight,Executioner,Goblins,The Log,Fireball,Tornado,Ice Spirit,Skeletons,Fireball,Archers,Tesla,The Log,X-Bow,Ice Golem,1,0
632,Mortar,P.E.K.K.A,Poison,Miner,Bats,Spear Goblins,The Log,Goblin Gang,Miner,Graveyard,Lumberjack,P.E.K.K.A,Bats,Goblin Gang,Zap,The Log,0,1
633,Mortar,P.E.K.K.A,Poison,Miner,Bats,Spear Goblins,The Log,Goblin Gang,Skeletons,Tornado,The Log,Rocket,Elixir Golem,Magic Archer,Night Witch,Executioner,1,2
634,Mortar,P.E.K.K.A,Poison,Miner,Bats,Spear Goblins,The Log,Goblin Gang,Baby Dragon,Night Witch,Golem,Lightning,Mega Minion,Lumberjack,Tornado,Barbarian Barrel,1,0
635,Mortar,P.E.K.K.A,Poison,Miner,Bats,Spear Goblins,The Log,Goblin Gang,Skeletons,Ice Wizard,Ice Golem,Mega Minion,X-Bow,Rocket,The Log,Tornado,1,0
636,Royal Giant,Valkyrie,Executioner,Tornado,Ice Spirit,Skeletons,Earthquake,The Log,Zap,Baby Dragon,Hog Rider,Mini P.E.K.K.A,Witch,Rocket,Musketeer,Valkyrie,0,1
637,Magic Archer,Fisherman,Night Witch,Sparky,Elixir Golem,Baby Dragon,Witch,P.E.K.K.A,Mega Knight,Magic Archer,Mini P.E.K.K.A,Bandit,The Log,Valkyrie,Wizard,Ram Rider,1,0
638,Magic Archer,Fisherman,Night Witch,Sparky,Elixir Golem,Baby Dragon,Witch,P.E.K.K.A,The Log,Fireball,Inferno Dragon,Magic Archer,Ram Rider,Valkyrie,Zap,Baby Dragon,1,0
639,Magic Archer,Fisherman,Night Witch,Sparky,Elixir Golem,Baby Dragon,Witch,P.E.K.K.A,Lumberjack,Balloon,Mega Minion,Ice Golem,Ice Spirit,Freeze,Clone,Arrows,0,1
640,Baby Dragon,Fisherman,Night Witch,P.E.K.K.A,Sparky,Elixir Golem,Witch,Magic Archer,Hog Rider,Tornado,Zap,Barbarian Barrel,P.E.K.K.A,Baby Dragon,Poison,Executioner,1,0
641,Baby Dragon,Freeze,Night Witch,P.E.K.K.A,Sparky,Elixir Golem,Witch,Magic Archer,Zap,Tesla,The Log,Fireball,Archers,Elite Barbarians,Bats,Mini P.E.K.K.A,1,0
642,Baby Dragon,Freeze,Night Witch,P.E.K.K.A,Sparky,Elixir Golem,Witch,Tornado,Skeleton Army,Fireball,Zap,Lumberjack,Wizard,Giant,Fire Spirits,Minion Horde,1,0
643,Baby Dragon,Freeze,Night Witch,P.E.K.K.A,Sparky,Elixir Golem,Witch,Tornado,Zap,Tornado,Bowler,Fireball,Wizard,Hog Rider,Tesla,Valkyrie,1,0
644,Baby Dragon,Freeze,Night Witch,P.E.K.K.A,Sparky,Elixir Golem,Witch,Tornado,Poison,Rocket,Elixir Golem,Night Witch,Tornado,Guards,Executioner,Graveyard,0,1
645,Baby Dragon,Freeze,Night Witch,P.E.K.K.A,Sparky,Elixir Golem,Witch,Tornado,Balloon,Mini P.E.K.K.A,Guards,Miner,Zap,Minions,Wizard,Inferno Dragon,1,0
646,Baby Dragon,Freeze,Night Witch,P.E.K.K.A,Sparky,Elixir Golem,Witch,Tornado,Inferno Tower,Rocket,Goblin Barrel,Goblin Gang,Ice Spirit,Knight,The Log,Princess,1,0
647,Baby Dragon,Freeze,Night Witch,P.E.K.K.A,Sparky,Elixir Golem,Witch,Tornado,Royal Giant,Baby Dragon,Lightning,Mega Minion,Lumberjack,The Log,Furnace,Electro Wizard,1,0
648,Baby Dragon,Freeze,Night Witch,P.E.K.K.A,Sparky,Elixir Golem,Witch,Tornado,Fireball,Golem,Wizard,Barbarians,The Log,Mirror,Minion Horde,Elite Barbarians,1,0
649,Baby Dragon,Freeze,Night Witch,P.E.K.K.A,Sparky,Elixir Golem,Witch,Tornado,Inferno Tower,Valkyrie,Rascals,The Log,Miner,Poison,Magic Archer,Baby Dragon,1,0
650,Baby Dragon,Freeze,Night Witch,P.E.K.K.A,Sparky,Elixir Golem,Witch,Tornado,Spear Goblins,Dark Prince,Skeleton Army,Royal Ghost,Goblin Barrel,Bandit,Musketeer,Mini P.E.K.K.A,1,0
651,Baby Dragon,Freeze,Night Witch,P.E.K.K.A,Sparky,Elixir Golem,Witch,Tornado,Balloon,Lumberjack,Mega Minion,Ice Wizard,Tornado,Freeze,Zap,Valkyrie,0,1
652,Executioner,Miner,Poison,Rocket,Goblins,The Log,Tornado,Valkyrie,X-Bow,Tesla,Valkyrie,Ice Wizard,Skeletons,Tornado,The Log,Poison,0,1
653,Executioner,Miner,Poison,Rocket,Goblins,The Log,Tornado,Valkyrie,P.E.K.K.A,Electro Wizard,Bandit,Royal Ghost,Battle Ram,Magic Archer,Zap,Poison,1,0
654,Executioner,Miner,Poison,Rocket,Goblins,The Log,Tornado,Valkyrie,Barbarian Barrel,Graveyard,Elixir Golem,Executioner,Night Witch,Freeze,Sparky,Tornado,1,0
655,Magic Archer,Miner,Wall Breakers,Valkyrie,Bomb Tower,Bats,Skeletons,Zap,P.E.K.K.A,Magic Archer,Electro Wizard,Bandit,Ram Rider,Giant Snowball,Lightning,Barbarian Barrel,0,1
656,Ram Rider,Inferno Dragon,Lumberjack,Magic Archer,Bandit,Ice Golem,Barbarian Barrel,Giant Snowball,Balloon,Miner,Executioner,Ice Spirit,Skeletons,Zap,Tornado,Valkyrie,0,1
657,Magic Archer,Miner,Wall Breakers,Valkyrie,Bomb Tower,Bats,Skeletons,Zap,Miner,Dart Goblin,Goblin Gang,Executioner,Bats,Mega Knight,Wall Breakers,Zap,1,0
658,Magic Archer,Miner,Wall Breakers,Valkyrie,Bomb Tower,Bats,Skeletons,Zap,P.E.K.K.A,Magic Archer,Ram Rider,Lightning,Barbarian Barrel,Electro Wizard,Bandit,Giant Snowball,1,0
659,Ram Rider,Inferno Dragon,Lumberjack,Magic Archer,Bandit,Ice Golem,Barbarian Barrel,Giant Snowball,Goblins,Night Witch,Bats,Mega Minion,Mega Knight,Zap,Golem,Elixir Collector,1,0
660,Ram Rider,Inferno Dragon,Lumberjack,Magic Archer,Bandit,Ice Golem,Barbarian Barrel,Giant Snowball,Mini P.E.K.K.A,Guards,Wizard,Mega Knight,Electro Wizard,Inferno Tower,Lightning,Mirror,2,0
661,Magic Archer,Miner,Wall Breakers,Valkyrie,Bomb Tower,Bats,Skeletons,Zap,Skeletons,Elixir Collector,Tornado,Executioner,X-Bow,P.E.K.K.A,The Log,Electro Wizard,1,0
662,Magic Archer,Miner,Wall Breakers,Valkyrie,Bomb Tower,Bats,Skeletons,Zap,P.E.K.K.A,Bandit,Electro Wizard,Magic Archer,Ram Rider,Lightning,Giant Snowball,Barbarian Barrel,1,0
663,Magic Archer,Miner,Wall Breakers,Valkyrie,Bomb Tower,Bats,Skeletons,Zap,Balloon,Miner,Executioner,Ice Spirit,Skeletons,Zap,Tornado,Valkyrie,0,1
664,Graveyard,Dark Prince,Musketeer,Furnace,Mega Minion,Ice Golem,Poison,Giant Snowball,Valkyrie,Princess,Inferno Dragon,Mirror,Miner,Sparky,Lumberjack,Minion Horde,3,0
665,Graveyard,Dark Prince,Musketeer,Furnace,Mega Minion,Ice Golem,Poison,Giant Snowball,Ice Spirit,Princess,Knight,Goblin Gang,The Log,Goblin Barrel,Inferno Tower,Rocket,1,0
666,Lava Hound,Balloon,Magic Archer,Fireball,Giant Skeleton,Night Witch,Furnace,Valkyrie,Valkyrie,Bomb Tower,Bats,Magic Archer,Wall Breakers,Miner,Ice Spirit,The Log,0,1
667,Lava Hound,Balloon,Magic Archer,Fireball,Giant Skeleton,Night Witch,Furnace,Valkyrie,Golem,Night Witch,Bats,Zap,Elixir Collector,Baby Dragon,Skeleton Army,Poison,1,0
668,Lava Hound,Balloon,Magic Archer,Clone,Giant Skeleton,Night Witch,Furnace,Valkyrie,Executioner,Night Witch,Magic Archer,Elixir Golem,Skeletons,Rocket,Tornado,The Log,0,2
669,Lava Hound,Balloon,Magic Archer,Clone,Giant Skeleton,Night Witch,Furnace,Valkyrie,Ice Spirit,Wizard,Zap,Electro Wizard,Dark Prince,Bandit,Fireball,Lumberjack,2,1
670,Lava Hound,Balloon,Magic Archer,Clone,Giant Skeleton,Night Witch,Furnace,Valkyrie,Golem,Archers,Bomber,Witch,Arrows,Zap,Tombstone,Freeze,3,1
671,Lava Hound,Skeleton Barrel,Clone,Balloon,Mega Knight,Night Witch,Witch,Valkyrie,Elixir Golem,Night Witch,Executioner,Tornado,Lightning,Magic Archer,Skeletons,The Log,0,2
672,Lava Hound,Skeleton Barrel,Clone,Balloon,Mega Knight,Night Witch,Witch,Valkyrie,Rage,Skeleton Army,Balloon,Wizard,Arrows,Minion Horde,Electro Wizard,Inferno Dragon,1,0
673,Giant Snowball,Musketeer,Giant,Barbarian Barrel,Poison,Dark Prince,Night Witch,Graveyard,Magic Archer,Executioner,Skeletons,Night Witch,Elixir Golem,Rocket,The Log,Tornado,2,1
674,Giant Snowball,Musketeer,Giant,Barbarian Barrel,Poison,Dark Prince,Night Witch,Graveyard,Bats,Electro Wizard,Zap,Mega Knight,Balloon,Miner,Goblin Gang,Ice Golem,2,1
675,Zap,Barbarian Barrel,Wall Breakers,Bandit,Miner,Inferno Dragon,Magic Archer,Mega Knight,Valkyrie,Magic Archer,Bomb Tower,Miner,Wall Breakers,Bats,The Log,Skeletons,2,1
676,Zap,Barbarian Barrel,Wall Breakers,Bandit,Miner,Inferno Dragon,Magic Archer,Mega Knight,Cannon Cart,Mega Minion,Archers,Ice Golem,Bomb Tower,Graveyard,Poison,Giant Snowball,2,1
677,Wall Breakers,Mega Knight,Tornado,Bandit,Miner,Zap,Bats,Executioner,Elixir Golem,Executioner,Magic Archer,Night Witch,Rocket,Skeletons,The Log,Tornado,0,1
678,P.E.K.K.A,Skeletons,Balloon,Miner,Executioner,Ice Spirit,Zap,Tornado,Mega Knight,Princess,Giant Skeleton,Freeze,Bats,Hog Rider,Bandit,Skeleton Army,2,1
679,Wall Breakers,Prince,Valkyrie,Goblin Barrel,Princess,Giant Snowball,Dart Goblin,Goblin Gang,Golem,Night Witch,Baby Dragon,Executioner,Goblin Cage,The Log,Tornado,Lightning,1,2
680,X-Bow,Ice Wizard,Tesla,Tornado,Rocket,The Log,Skeletons,Valkyrie,Bats,Bomb Tower,Valkyrie,Magic Archer,Miner,Skeletons,Wall Breakers,The Log,1,0
681,X-Bow,Ice Wizard,Tesla,Tornado,Rocket,The Log,Skeletons,Valkyrie,Golem,Executioner,Skeleton Army,Mega Minion,Night Witch,Bomber,Zap,Wizard,2,1
682,X-Bow,Ice Wizard,Tesla,Tornado,Rocket,The Log,Skeletons,Valkyrie,Bomber,Zap,Witch,P.E.K.K.A,Electro Wizard,Hunter,Goblin Gang,Dark Prince,1,0
683,X-Bow,Ice Wizard,Tesla,Tornado,Rocket,The Log,Skeletons,Valkyrie,Executioner,Golem,Barbarian Barrel,Guards,Tornado,Lightning,Night Witch,Baby Dragon,1,0
684,Zap,Barbarian Barrel,Wall Breakers,Bandit,Miner,Inferno Dragon,Magic Archer,Mega Knight,Elixir Golem,Zap,Tornado,Night Witch,Executioner,Minions,Mega Knight,Rocket,1,2
685,Zap,Barbarian Barrel,Wall Breakers,Bandit,Miner,Inferno Dragon,Magic Archer,Mega Knight,Ram Rider,Giant Snowball,P.E.K.K.A,Electro Wizard,Lightning,Barbarian Barrel,Magic Archer,Bandit,3,0
